"","NS00001A","NS00002A","NS00003A","NS00004A","NS00005A","NS00006A","NS00013A","NS00014A","NS00015A","NS00016A","NS00017A","NS00018A","NS00019A","NS00020A","NS00021A","NS00022A","NS00023A","NS00024A","NS00025A","NS00026A","NS00027A","NS00028A","NS00029A","NS00030A","NS00031A","NS00032A","NS00033A","NS00034A","NS00035A","NS00036A","NS00037B","NS00038B","NS00039B","NS00040B","NS00041B","NS00042B","NS00043B","NS00044B","NS00045B","NS00046B","NS00047B","NS00048B","NS00049A","NS00050A","NS00051A","NS00052A","NS00053A","NS00054A","NS00055A","NS00056A","NS00057A","NS00058A","NS00059A","NS00060A","NS00061A","NS00062A","NS00063A","NS00064A","NS00065A","NS00066A","NS00067A","NS00068A","NS00069A","NS00070A","NS00073A","NS00074A","NS00075A","NS00076A","NS00077A","NS00080B","NS00081B","NS00082B","NS00085B","NS00086B","NS00088B","NS00091A","NS00092A","NS00093A","NS00094A","NS00095A","NS00096A","NS00097A","NS00098A","NS00099A","NS00101A","NS00102A","NS00103A","NS00104A","NS00105A","NS00106A","NS00107A","NS00108A","NS00109A","NS00110A","NS00111A","NS00112A","NS00113A","NS00114A","NS00115A","NS00116A","NS00117A","NS00119A","NS00120A","NS00121A","NS00122A","NS00123A","NS00124A","NS00125A","NS00126A","NS00127A","NS00128A","NS00129A","NS00131A","NS00132A","NS00133A","NS00134A","NS00135A","NS00136A","NS00137A","NS00138A","NS00139A","NS00140A","NS00141A","NS00142A","NS00143A","NS00144A","NS00145A","NS00146A","NS00147A","NS00148A","NS00149A","NS00150A","NS00151A","NS00152A","NS00153A","NS00154A","NS00155A","NS00156A","NS00157A","NS00158A","NS00159A","NS00160A","NS00162A","NS00163A","NS00164A","NS00165B","NS00166A","NS00167A","NS00168A","NS00169B","NS00170A","NS00171B","NS00172A","NS00174A"
"ST00101",15696,15497,13438,3,13480,25078,43644,42933,33416,9,29384,29666,28910,31042,26746,12,11776,31497,57176,80616,55230,1,59346,42981,53219,66269,51835,8,47069,57546,79833,91984,86057,28,73957,76473,61897,100104,70656,8,27182,66991,1,1,0,30653,7,0,0,3,0,40467,460,464,0,3,0,47526,130,673,4438,4,0,86771,9,6,0,67998,7558,13,0,99330,17652,6,88930,25496,28576,24463,15072,25501,25306,33234,61707,41092,46962,34037,27514,50701,27120,12128,24743,26703,24802,89727,31186,15206,22463,30986,43530,86021,54001,42121,34096,7048,97324,12398,7600,8022,13288,58510,72046,28199,78307,95973,0,2,0,24729,0,0,0,2,0,40237,0,0,0,1,0,51825,3,4,0,6,0,76191,0,0,0,0,0,68432,0,0,25,0,92439,0,0,0,5,0,91057,0
"ST00154",26335,24622,32086,39591,1,47269,21786,12758,19433,25928,0,36226,29621,30300,32390,45898,1,44764,6079,5540,8685,15643,0,9632,12211,5862,11233,31668,1,25484,3569,875,4104,15522,0,8614,10174,3390,11091,25420,0,18706,0,0,1,0,49261,2,2,1,0,1,52241,1,0,4,0,11,60866,0,0,15,0,0,0,1243,0,99,56514,4728,0,4,0,16463,1450,15388,20418,14250,18393,0,15756,15070,13260,14005,4,21241,16691,10288,15685,15012,15,41436,19015,2804,15324,19202,308,16200,16407,9832,16163,38,29325,17705,349,17710,13001,10173,23168,7303,4699,3248,41,23420,0,2,0,0,14408,0,0,0,0,0,28659,0,1,2,0,0,41578,0,0,122,4,1,52728,0,28,2463,29,5,14,2,5404,6,0,83680,18,813,11259,756,0,368
"NS_042g_27F",10748,0,9034,10206,9730,17148,32216,0,25948,47208,20882,26026,13912,4,14459,23249,3363,16564,29881,8,30766,65075,7940,29979,13824,1,14129,41834,4470,18717,2974,4,3196,75015,31,4569,98,2,105,34489,1,120,0,30738,1,6,1,0,0,53444,0,1,0,0,0,37659,0,1,0,0,0,95679,0,3,0,87021,0,2,0,88918,0,1,2,71699,1,17488,1,16887,17640,18059,17743,35504,9,36872,42476,34612,23988,3,23270,14408,18110,26252,49823,8,50645,57642,75855,48783,27498,15,31269,15906,28666,70175,0,60176,67670,74094,51435,11074,5,4915,100,14440,0,16963,1,0,0,0,0,29620,0,2,0,0,0,34569,0,4,0,0,0,93714,2,0,0,1,0,60472,0,2,0,0,83164,0,0,0,0,0,52822,0,5,0
"NS_164C_27F",1,1,2,0,15193,0,1,0,0,1,47707,0,0,0,0,2,35736,0,0,0,0,0,29435,0,0,0,0,0,41109,0,0,0,0,0,25160,0,0,0,0,0,18359,0,18238,18141,24906,16736,0,18858,56674,35559,30547,47297,1,65954,74920,53855,78648,19393,0,76171,52624,50,64619,3583,85696,2249,82938,17163,0,0,95299,91,68762,178,3781,0,0,0,0,22662,0,0,1,2,11872,0,1,1,0,0,54905,2,0,0,0,0,851,0,1,0,0,36259,0,0,0,0,0,0,0,0,0,0,23522,0,21182,25098,25265,19786,5,29598,70249,35794,59547,49060,254,57273,97862,57515,82736,12259,7617,61890,32461,473,56586,940,4,65908,131099,10455,61338,272,125772,95672,23,105411,4,9493,92882,94678,23048,96481,38,94105
"ST00060",2,23490,10,3,5,4,698,38267,2472,75,96,1727,28,7894,10,19,27,61,259,7618,561,1,6,148,0,839,0,4,2,74,0,10,4,1,0,0,0,1,0,0,0,0,34973,3,24189,20498,10744,30233,24296,0,13392,3820,36032,16305,6775,0,5498,25495,27924,7245,26857,0,28053,5995,376,0,929,5880,30090,0,1,290,0,0,11,2,34,2,1,5,3,72,22876,237,15,56,665,4518,225,4655,8,102,132,6643,55,201,3,22,367,43,260,0,25,11,62,0,0,0,0,2,0,6,0,0,16562,2,28954,13852,16212,16019,15299,0,24553,13505,58343,16774,8745,1,7973,1670,35732,7424,10319,0,22791,17482,78830,19106,967,0,446,591,1572,7,0,4,109,1300,8,0,0,3,2,14
"ST00046",28612,27271,30739,37142,19980,0,9638,1059,14385,19504,21,0,21823,23614,21714,22786,27,0,27,41,30,5784,4,0,17569,29356,16510,19725,4,0,16,4,385,39,0,0,16174,1770,8063,23878,0,0,0,0,1,7,0,27430,0,0,0,0,0,7,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,34452,47393,32016,36653,30554,0,12404,2082,8105,2,0,22063,32056,29980,39065,3,1,40,64,27,109,0,0,6225,64,1008,0,0,0,0,0,0,0,0,12618,4,6997,0,0,2,7,0,7,0,28559,3,3,0,1,1,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ST00143",0,0,2,0,0,16868,0,2,0,0,0,2019,1,0,0,5,0,3201,0,0,0,0,0,44,0,0,0,2,0,438,0,0,0,0,0,59,0,0,0,0,0,23,19655,22758,28053,17689,18004,0,837,1381,473,617,3707,0,349,924,419,29,5690,0,243,414,388,0,25,1740,48,0,35,69,140,0,1,258,0,0,0,0,0,0,28121,1,0,0,0,4155,0,0,0,0,0,7374,0,0,0,0,1,169,0,0,0,0,138,0,0,0,0,0,55,0,0,0,0,41,27695,31440,28123,26146,26205,0,846,666,777,677,4016,0,566,1215,724,61,2717,1,160,500,180,1,847,0,29,840,18,0,0,29,158,57,0,73,0,1,174,0,0,0
"NS_110C_1_27F",4,0,1,4539,0,0,0,0,2,806,0,0,0,1,0,1268,2,0,1,0,0,92,1,0,0,0,0,194,0,0,0,0,0,4,0,0,0,0,0,7,0,0,5019,5287,10007,1,4253,7115,6125,486,2915,0,2094,4622,12844,1130,11717,0,1480,13388,611,334,1637,0,8962,773,9033,0,95,51,1155,0,2424,60,0,0,0,1,1087,0,0,0,0,1,0,0,1,0,0,316,0,0,0,0,2,95,0,0,0,0,1,0,0,0,0,0,15,0,0,0,0,0,0,0,8851,8885,4103,3,5579,10718,6156,335,10465,0,2061,9989,19759,2469,18345,4,2679,15965,940,743,1453,0,554,874,6434,616,2743,0,4346,158,61,500,0,33,197,646,78,82,0,133
"ST00094",0,0,8841,0,0,0,0,0,223,0,0,0,0,0,1,0,0,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11058,13228,0,10621,11183,11233,6504,716,0,468,2352,6659,1893,297,0,614,835,2276,7626,15,0,42,218,2,0,8,100,1,0,0,6,0,0,206,0,7358,231,225,266,0,0,129,3,0,1,0,49,9,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,12920,12464,0,10996,7099,14275,3132,516,0,804,2266,6700,2155,164,0,234,1350,1137,2447,30,1,82,3270,2732,512,5,0,4,401,2280,0,0,1,1099,694,11,0,0,0,35
"ST00109",1268,2173,0,1914,1867,2268,20,37,0,11,20,43,5,19,0,10,9,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5156,0,0,0,0,0,52,0,0,0,0,0,70,0,0,0,0,0,3,0,0,0,10,0,0,0,0,0,0,0,0,3582,12,0,3913,4357,4461,24,57,0,85,25,42,45,0,203,65,32,0,0,0,4,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6878,0,0,0,0,0,132,0,2,0,0,0,70,0,0,0,0,0,8,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
